SSN,PID,CC,Site,ICRAFPID,Lon,Lat,Depth,pH,Hp,EC,C,N,P,K,S,Ca,Mg,Al,B,Cu,Fe,Mn,Zn,Na
icr072525,AO-qVuhxL,AO,Sanza Pompo,Sanza Pompo-15-1,15.760787,-7.333075,10,5.05,1.35,0.026,15170,688,9.5,36.2,11.8,157,39.2,1330,0.001,0.4,194,16.8,1.73,95.5
icr072526,AO-qVuhxL,AO,Sanza Pompo,Sanza Pompo-15-1,15.760787,-7.333075,35,5.06,1.35,0.014,9077,416,4.4,14.4,8.3,40.1,11.5,1330,0.001,0.24,161,4.83,1.56,42.8
icr072544,AO-av32NN,AO,Sanza Pompo,Sanza Pompo-16-2,15.760667,-7.31389,10,4.82,2.23,0.074,26800,2032,40.2,137,13.4,147,47.6,1760,0.001,0.001,434,35.6,2.12,13.4
icr072545,AO-av32NN,AO,Sanza Pompo,Sanza Pompo-16-2,15.760667,-7.31389,35,4.79,1.64,0.036,11107,661,13.4,38,9.2,102,27.3,1160,0.001,0.24,554,16.5,1.13,52.5
icr072596,AO-wYWnB2,AO,Mucope,Mucope-1-1,14.883505,-16.269413,10,6.84,0.29,0.059,5869,457,7.9,124,6.8,719,123,355,0.19,0.21,50.5,58.7,1.03,47
icr072597,AO-wYWnB2,AO,Mucope,Mucope-1-1,14.883505,-16.269413,35,6.94,0.097,0.029,2244,151,2.4,226,4.5,501,156,443,0.17,0.001,42.8,36.1,0.84,41.7
icr072616,AO-dMZ2dP,AO,Mucope,Mucope-2-1,14.884687,-16.244708,10,6.44,0.19,0.044,4410,240,2.1,146,3.7,634,240,421,0.001,0.001,66.5,85.7,1.23,32
icr072617,AO-dMZ2dP,AO,Mucope,Mucope-2-1,14.884687,-16.244708,35,6.53,0.097,0.024,3688,221,1.6,137,4.4,1000,458,624,0.029,0.001,61.6,39.1,0.44,40.1
icr072636,AO-gQNEPl,AO,Mucope,Mucope-3-1,14.88083,-16.216113,10,6.71,0.19,0.02,5052,269,1.7,104,3.4,755,206,414,0.029,0.001,55.5,56.2,0.56,34.7
icr072637,AO-gQNEPl,AO,Mucope,Mucope-3-1,14.88083,-16.216113,35,6.61,0.097,0.021,3953,231,1.3,106,3.8,998,298,510,0.001,0.001,44.1,39.1,0.87,31.8
icr072656,AO-8MOvQw,AO,Mucope,Mucope-4-1,14.873357,-16.196175,10,6.38,0.19,0.019,3720,203,2.4,96.7,4.5,1250,330,444,0.001,0.001,130,48.2,1.16,42.7
icr072657,AO-8MOvQw,AO,Mucope,Mucope-4-1,14.873357,-16.196175,35,6.18,0.29,0.023,3018,200,2,61.8,5,1830,398,537,0.033,0.001,90.5,30,0.99,50.8
icr072676,AO-kQBILA,AO,Mucope,Mucope-5-1,14.899807,-16.267197,10,7.69,0.097,0.085,5469,385,5.4,106,4.6,951,96,346,0.11,0.32,49.7,52,0.98,29.1
icr072677,AO-kQBILA,AO,Mucope,Mucope-5-1,14.899807,-16.267197,35,6.47,0.19,0.023,2280,184,2,95,4,627,161,425,0.041,0.001,43.2,43,0.53,41.5
icr072696,AO-MBgBRt,AO,Mucope,Mucope-6-1,14.904588,-16.24029,10,6.58,0.19,0.033,4701,326,5.3,59.6,4,448,51.5,331,0.001,0.51,39,43.1,1.62,29
icr072697,AO-MBgBRt,AO,Mucope,Mucope-6-1,14.904588,-16.24029,35,6.34,0.19,0.015,2209,143,2.5,47.2,3.3,346,38.1,438,0.001,0.001,52.7,27.5,0.5,31.3
icr072716,AO-GcL00m,AO,Mucope,Mucope-7-1,14.89889,-16.225095,10,6.73,0.19,0.035,3203,206,9,76.5,4.3,272,44.8,416,0.001,0.2,52.1,32.8,1.13,32.7
icr072717,AO-GcL00m,AO,Mucope,Mucope-7-1,14.89889,-16.225095,35,5.77,0.29,0.01,1880,152,4,87.2,5.3,218,40.8,593,0.001,0.001,56.2,29.6,0.69,38.2
icr072736,AO-COly0I,AO,Mucope,Mucope-8-1,14.899182,-16.198942,10,6.6,0.097,0.032,3779,262,2.7,104,3.6,533,225,360,0.03,0.001,87.2,75.7,0.74,33.7
icr072737,AO-COly0I,AO,Mucope,Mucope-8-1,14.899182,-16.198942,35,6.42,0.19,0.074,3927,257,3.9,212,6.1,856,496,452,0.001,0.001,126,72.2,13.4,48.2
icr072756,AO-2SLdm7,AO,Mucope,Mucope-9-1,14.930115,-16.263547,10,5.86,0.48,0.025,3958,265,4.6,57.8,4.6,303,41.2,506,0.001,0.24,54.2,42,0.54,43.7
icr072757,AO-2SLdm7,AO,Mucope,Mucope-9-1,14.930115,-16.263547,35,5.37,0.48,0.01,2299,148,2.5,43.7,6,241,41.7,613,0.001,0.001,63.3,13.5,1.09,40
icr072776,AO-Rgapoi,AO,Mucope,Mucope-10-1,14.928503,-16.244733,10,6.19,0.097,0.023,3873,240,13.5,91,3.1,421,66,366,0.001,0.46,69.5,50.5,1.29,30.8
icr072777,AO-Rgapoi,AO,Mucope,Mucope-10-1,14.928503,-16.244733,35,5.83,0.19,0.017,3020,234,6,128,4.1,634,161,539,0.001,0.56,86.7,59.5,1.69,32.1
icr072796,AO-HZovgv,AO,Mucope,Mucope-11-1,14.93248,-16.219212,10,6.34,0.19,0.053,2969,241,2.8,105,4.2,610,102,375,0.11,0.24,59.6,44.6,1.05,31.3
icr072797,AO-HZovgv,AO,Mucope,Mucope-11-1,14.93248,-16.219212,35,6.12,0.097,0.029,2790,211,2.3,150,4,557,123,533,0.046,0.001,96.2,51.3,2.2,45.7
icr072816,AO-uIigzz,AO,Mucope,Mucope-12-1,14.922573,-16.203565,10,7.26,0.19,0.091,4968,393,10,65.9,4.5,924,61,344,0.061,0.28,53.3,75.5,1.67,31.1
icr072817,AO-uIigzz,AO,Mucope,Mucope-12-1,14.922573,-16.203565,35,7.55,0.097,0.04,2894,243,3.2,110,3.1,910,101,416,0.058,0.001,65.2,64.5,1.44,36.2
icr072836,AO-7gUTwj,AO,Mucope,Mucope-13-1,14.958435,-16.268775,10,6.67,0.097,0.04,4757,318,4.1,105,3.5,682,146,296,0.041,0.28,109,84.7,1.44,51.6
icr072837,AO-7gUTwj,AO,Mucope,Mucope-13-1,14.958435,-16.268775,35,7.14,0.19,0.031,2823,172,1.8,179,4,830,273,326,0.06,0.001,89.5,112,1.37,92.7
icr072856,AO-urFruE,AO,Mucope,Mucope-14-1,14.948357,-16.242562,10,7.79,0.097,0.066,2366,184,3.7,56.3,2.7,385,69.9,181,0.039,0.23,60.7,49.3,1.31,115
icr072857,AO-urFruE,AO,Mucope,Mucope-14-1,14.948357,-16.242562,35,9.86,0.19,0.372,1854,143,2.4,179,6.8,1120,208,178,0.22,0.001,65,100,0.42,811
icr072876,AO-HoRU9L,AO,Mucope,Mucope-15-1,14.945962,-16.221305,10,7.06,0.48,0.051,4414,417,3.7,41,2.1,571,44.6,288,0.075,0.22,45.6,42.7,1.05,6.92
icr072877,AO-HoRU9L,AO,Mucope,Mucope-15-1,14.945962,-16.221305,35,6.87,0.097,0.018,2253,203,2,66,1.6,376,53.7,350,0.057,0.001,55.7,38,0.42,6.83
icr072896,AO-rcifnj,AO,Mucope,Mucope-16-1,14.951287,-16.20006,10,6.14,0.19,0.02,3983,285,3.7,24.8,1.7,261,40.1,305,0.001,0.25,38.5,32.7,0.54,NA
icr072897,AO-rcifnj,AO,Mucope,Mucope-16-1,14.951287,-16.20006,35,5.75,0.19,0.01,2069,171,2.1,38.6,1.7,157,46.5,361,0.001,0.41,44.5,22.6,0.68,NA
icr072948,AO-rspztk,AO,Bimbe,Bimbe-1-2,15.875412,-11.772835,10,5.09,1.06,0.042,14661,766,8.8,54.6,11.8,44,10.8,1510,0.001,0.71,268,3.7,0.96,11.5
icr072949,AO-rspztk,AO,Bimbe,Bimbe-1-2,15.875412,-11.772835,35,5.22,0.67,0.024,11280,554,4.3,23.6,7.9,37.2,10.5,1560,0.001,0.53,173,2.02,0.8,29.5
icr072968,AO-7Kj4Pi,AO,Bimbe,Bimbe-2-1,15.877742,-11.750448,10,6.4,0.097,0.073,12959,728,92.9,131,6.9,684,181,1280,0.21,0.5,136,41.5,1.07,19.8
icr072969,AO-7Kj4Pi,AO,Bimbe,Bimbe-2-1,15.877742,-11.750448,35,6.16,0.29,0.028,6011,363,17.1,131,6.3,281,111,1580,0.056,0.32,84.7,25.8,0.62,21.8
icr072988,AO-NGL0EQ,AO,Bimbe,Bimbe-3-1,15.885267,-11.723247,10,5.37,0.38,0.032,11461,672,11.8,35.7,7.8,171,56.1,1350,0.001,0.7,149,46.8,1.35,37.2
icr072989,AO-NGL0EQ,AO,Bimbe,Bimbe-3-1,15.885267,-11.723247,35,5.05,1.16,0.036,19172,909,5.8,58.8,8.6,69.4,22.1,1610,0.001,1.04,137,3.58,0.5,11.1
icr073008,AO-nHrGvb,AO,Bimbe,Bimbe-4-1,15.88675,-11.704137,10,5.58,0.29,0.016,5462,294,1.2,26.6,4.3,105,49.1,1460,0.001,1.53,69,84.2,0.79,21
icr073009,AO-nHrGvb,AO,Bimbe,Bimbe-4-1,15.88675,-11.704137,35,5.96,0.097,0.024,10018,589,3.5,65,6.6,233,87,1430,0.039,1.93,71.5,83,2.08,12
icr073029,AO-l1MeNh,AO,Bimbe,Bimbe-5-1,15.909022,-11.773402,35,5.08,0.48,0.017,5506,322,10,1,8.4,23.6,6.8,1490,0.001,0.001,108,0.72,0.93,23.8
icr073048,AO-XwIDaw,AO,Bimbe,Bimbe-6-1,15.904305,-11.751647,10,6.07,0.19,0.024,11819,796,13,99.2,6.2,428,72.5,1270,0.074,0.51,97.5,35,1.04,9.47
icr073049,AO-XwIDaw,AO,Bimbe,Bimbe-6-1,15.904305,-11.751647,35,5.85,0.29,0.021,8177,471,6,81.2,5.7,251,42.7,1380,0.001,0.45,95.9,30.3,0.86,16.1
icr073068,AO-zmfw4G,AO,Bimbe,Bimbe-7-1,15.90537,-11.728612,10,5.23,1.16,0.015,8128,505,9.7,40.7,7.8,128,40.6,1180,0.001,1.13,151,10.4,1.28,32.7
icr073069,AO-zmfw4G,AO,Bimbe,Bimbe-7-1,15.90537,-11.728612,35,5.42,0.48,0.022,10141,634,11.5,59.7,7.5,256,71.4,1070,0.001,1.1,162,22.8,0.87,49.3
icr073088,AO-VTKDSJ,AO,Bimbe,Bimbe-8-1,15.905035,-11.70184,10,5.01,2.13,0.041,57607,3577,3.4,47.5,9.7,158,43.6,2200,0.001,0.44,37.1,1.55,0.69,112
icr073089,AO-VTKDSJ,AO,Bimbe,Bimbe-8-1,15.905035,-11.70184,35,5.19,2.61,0.074,86769,5010,8,172,12.4,338,93,2240,0.001,0.47,86.2,5.95,0.71,46.1
icr073128,AO-vHRfwf,AO,Bimbe,Bimbe-10-1,15.925165,-11.742998,10,5.83,0.19,0.022,9363,526,14.4,27.8,8.3,319,55.7,1370,0.039,0.42,97.9,28.8,0.84,52.1
icr073129,AO-vHRfwf,AO,Bimbe,Bimbe-10-1,15.925165,-11.742998,35,5.71,0.19,0.017,4933,275,8.5,10,6.9,197,30.1,1580,0.001,0.001,90.7,13.3,0.56,44.5
icr073148,AO-AsfO0B,AO,Bimbe,Bimbe-11-1,15.929552,-11.72815,10,5.77,0.097,0.022,6004,350,6,41.2,7.9,200,50.5,1160,0.026,0.81,87,60.3,0.83,33.5
icr073149,AO-AsfO0B,AO,Bimbe,Bimbe-11-1,15.929552,-11.72815,35,5.62,0.19,0.016,5198,279,2.5,21,5.2,197,55.2,1440,0.001,0.66,66,47.7,0.45,25.5
icr073168,AO-2EwYM5,AO,Bimbe,Bimbe-12-1,15.925227,-11.703223,10,5.75,0.097,0.023,11152,630,6.4,31.6,7,232,58.2,1230,0.001,0.78,86.2,66.5,0.94,51.3
icr073169,AO-2EwYM5,AO,Bimbe,Bimbe-12-1,15.925227,-11.703223,35,5.6,0.29,0.012,6224,373,4,61.1,6,174,67,1200,0.001,0.74,118,40.7,2.54,48.3
icr073188,AO-HhW0EE,AO,Bimbe,Bimbe-13-1,15.953628,-11.776078,10,5.28,0.97,0.028,31074,1629,13.8,23.6,11,83,13.3,2120,0.001,0.61,60.2,3.43,0.53,25.5
icr073189,AO-HhW0EE,AO,Bimbe,Bimbe-13-1,15.953628,-11.776078,35,5.38,0.48,0.019,16209,961,10.5,5.5,9,27.1,5.7,1870,0.001,0.6,41.7,1.47,0.77,22.5
icr073208,AO-CLO1K7,AO,Bimbe,Bimbe-14-1,15.952403,-11.754247,10,5.56,0.19,0.082,17526,988,4.6,192,8.5,504,175,1390,0.084,2,108,160,1.36,46.3
icr073209,AO-CLO1K7,AO,Bimbe,Bimbe-14-1,15.952403,-11.754247,35,5.34,0.29,0.072,15317,875,3.3,118,6.4,452,135,1420,0.058,1.75,99.4,122,1.01,40.8
icr073228,AO-Vn639G,AO,Bimbe,Bimbe-15-1,15.94343,-11.72477,10,6.17,0.29,0.047,17063,954,5.4,138,7,723,158,1410,0.27,1.25,93.9,94.2,2.23,38.1
icr073229,AO-Vn639G,AO,Bimbe,Bimbe-15-1,15.94343,-11.72477,35,6.08,0.19,0.028,9209,520,1.7,91.5,5.3,411,112,1500,0.14,1.12,63.8,74.2,0.84,44.2
icr073248,AO-xumNuX,AO,Bimbe,Bimbe-16-1,15.9523,-11.700067,10,5.69,0.19,0.051,28116,1484,24.3,164,10.8,992,350,1290,0.22,1.49,192,107,2.87,144
icr073249,AO-xumNuX,AO,Bimbe,Bimbe-16-1,15.9523,-11.700067,35,5.5,0.29,0.016,7663,411,2.6,55.3,5.6,146,99.4,1410,0.001,0.73,72.2,17.6,0.81,65.7
icr073300,AO-iUZtsy,AO,Luimbale,Luimbale-1-1,15.143883,-12.35919,10,5.89,0.29,0.016,8761,498,1.7,68.9,5.8,331,111,1260,0.22,0.74,53.2,75.2,0.98,61.7
icr073301,AO-iUZtsy,AO,Luimbale,Luimbale-1-1,15.143883,-12.35919,35,5.89,0.097,0.026,14133,760,3.1,92,6.7,368,138,1300,0.15,0.81,69.7,93.2,0.93,29.8
icr073320,AO-LfOifc,AO,Luimbale,Luimbale-2-1,15.143603,-12.339873,10,5.69,0.29,0.034,8866,495,5.8,87,7.1,261,67.2,1180,0.09,0.27,68.5,62.7,1,34.7
icr073321,AO-LfOifc,AO,Luimbale,Luimbale-2-1,15.143603,-12.339873,35,5.64,0.38,0.016,5921,288,3,78.9,6.7,212,52.2,1340,0.031,0.27,59,57.1,1.17,43.3
icr073340,AO-0RS2Fg,AO,Luimbale,Luimbale-3-1,15.152003,-12.316283,10,5.8,0.29,0.025,17025,1056,11.8,123,7.1,565,102,1260,0.096,0.4,105,55.7,3.41,28.8
icr073341,AO-0RS2Fg,AO,Luimbale,Luimbale-3-1,15.152003,-12.316283,35,6.09,0.19,0.012,5055,320,2.6,55.2,4.5,441,67.7,1090,0.02,0.83,61.3,94.2,0.95,32.1
icr073361,AO-T9CcZx,AO,Luimbale,Luimbale-4-2,15.147417,-12.30484,10,6.02,0.29,0.026,16757,1072,5.3,191,9.4,929,176,1440,0.17,0.79,63.1,65,0.74,140
icr073362,AO-T9CcZx,AO,Luimbale,Luimbale-4-2,15.147417,-12.30484,35,5.69,0.29,0.02,9786,598,2.5,102,5.3,396,62.7,1340,0.001,0.74,53.2,54.7,1.19,28.8
icr073379,AO-sySTDx,AO,Luimbale,Luimbale-5-1,15.161757,-12.3554,10,5.45,0.48,0.023,8734,462,5.4,64.9,7.9,134,30.8,1250,0.001,0.26,134,23.5,0.86,28.3
icr073380,AO-sySTDx,AO,Luimbale,Luimbale-5-1,15.161757,-12.3554,35,5.42,0.58,0.012,3817,189,2.9,27.8,4.9,93.7,28.5,1220,0.001,0.21,79.4,16.3,0.65,30.1
icr073399,AO-TbOR2y,AO,Luimbale,Luimbale-6-1,15.175478,-12.34284,10,5.88,0.19,0.033,15939,883,4,78.9,6.1,427,133,1220,0.11,0.65,73.5,58.1,1.28,37.1
icr073400,AO-TbOR2y,AO,Luimbale,Luimbale-6-1,15.175478,-12.34284,35,5.74,0.19,0.013,7150,385,1.3,30.3,4.9,213,65,1290,0.001,0.5,45.2,56.7,0.81,34.8
icr073419,AO-LcSVL0,AO,Luimbale,Luimbale-7-1,15.174082,-12.31856,10,5.85,0.29,0.024,12652,788,6.8,121,7.3,475,94.9,1260,0.097,1.61,81.7,128,1.93,30
icr073420,AO-LcSVL0,AO,Luimbale,Luimbale-7-1,15.174082,-12.31856,35,5.6,0.38,0.014,6159,396,2.8,64.2,5.2,254,59.2,1270,0.001,1.31,54.5,109,0.88,28.6
icr073439,AO-eKdQxc,AO,Luimbale,Luimbale-8-1,15.17505,-12.297935,10,5.75,0.19,0.02,9558,574,4.5,81.7,6.3,306,84.5,1160,0.05,0.31,89,73.2,0.53,31.1
icr073440,AO-eKdQxc,AO,Luimbale,Luimbale-8-1,15.17505,-12.297935,35,5.6,0.29,0.012,5166,269,2.2,54.2,7.8,302,87.9,1340,0.062,0.3,54.2,55,0.92,91.4
icr073459,AO-UQLbJe,AO,Luimbale,Luimbale-9-2,15.202647,-12.349295,10,5.29,0.87,0.012,8237,462,8.4,59,7.4,105,31.3,1260,0.001,0.45,84.7,67.5,1.3,33
icr073460,AO-UQLbJe,AO,Luimbale,Luimbale-9-2,15.202647,-12.349295,35,5.16,0.97,0.019,8498,455,6.8,44.3,6.9,94,23.1,1270,0.001,0.37,83.2,60.2,2.6,32.7
icr073479,AO-DKW2Me,AO,Luimbale,Luimbale-10-1,15.190278,-12.345895,10,5.58,0.29,0.011,6528,363,1.4,98.4,6.7,271,102,1420,0.071,0.46,40.3,50.7,1.41,87.2
icr073480,AO-DKW2Me,AO,Luimbale,Luimbale-10-1,15.190278,-12.345895,35,5.79,0.38,0.023,11433,697,3.2,137,6.5,284,109,1400,0.08,0.45,52,42.6,0.72,18.1
icr073499,AO-d82HFT,AO,Luimbale,Luimbale-11-1,15.2063,-12.318557,10,5.56,0.29,0.018,7001,368,2.2,62.6,7.1,272,98.2,1180,0.11,0.7,47.3,64.5,0.99,123
icr073500,AO-d82HFT,AO,Luimbale,Luimbale-11-1,15.2063,-12.318557,35,5.81,0.19,0.024,10630,581,5.7,86,6.9,202,129,1270,0.12,0.86,77.5,79.4,0.88,8.58
icr073519,AO-10kMiD,AO,Luimbale,Luimbale-12-1,15.195468,-12.295335,10,5.71,0.29,0.024,10114,634,3.5,69.2,5.3,352,85.2,1130,0.051,0.28,60.5,75.7,0.71,17.8
icr073520,AO-10kMiD,AO,Luimbale,Luimbale-12-1,15.195468,-12.295335,35,5.6,0.19,0.017,5518,351,1.6,43,5,282,67.4,1260,0.001,0.43,47,68.4,0.79,39.8
icr073539,AO-b6Infu,AO,Luimbale,Luimbale-13-1,15.216922,-12.357305,10,5.64,0.29,0.029,13290,659,7.9,135,7.2,153,78.2,1250,0.001,0.22,102,71.5,1.12,24.1
icr073540,AO-b6Infu,AO,Luimbale,Luimbale-13-1,15.216922,-12.357305,35,5.51,0.48,0.018,6018,363,3.2,76.2,5.9,102,47.7,1160,0.001,0.001,73.5,52.7,0.69,27.8
icr073558,AO-StsPDg,AO,Luimbale,Luimbale-14-1,15.221827,-12.327523,10,5.66,0.19,0.019,8964,519,4.8,56.7,6.4,156,79,1290,0.048,0.34,61.2,52.6,0.72,29
icr073559,AO-StsPDg,AO,Luimbale,Luimbale-14-1,15.221827,-12.327523,35,5.5,0.29,0.011,4618,231,1.9,54.7,4.9,80,55.2,1240,0.001,0.28,45.2,50.1,0.54,29
icr073578,AO-XSJ5EL,AO,Luimbale,Luimbale-15-1,15.213823,-12.314768,10,5.64,0.19,0.026,10358,542,5.6,71.5,7.1,322,98.9,1160,0.065,0.52,81.7,55.7,0.53,34.3
icr073579,AO-XSJ5EL,AO,Luimbale,Luimbale-15-1,15.213823,-12.314768,35,5.45,0.097,0.01,5372,257,2.1,33,6,166,62.6,1290,0.001,0.49,60.6,49.1,0.68,31.6
icr073598,AO-8OOJ4w,AO,Luimbale,Luimbale-16-1,15.223423,-12.297238,10,5.85,0.19,0.017,8703,471,3.5,80.2,6.8,494,116,1200,0.16,0.42,44.3,68.5,1.42,100
icr073599,AO-8OOJ4w,AO,Luimbale,Luimbale-16-1,15.223423,-12.297238,35,5.79,0.19,0.023,4853,302,2.7,67.5,4.6,337,85,1230,0.074,0.28,46.3,51.3,1.43,34.8
icr073649,ZW-wWHbdh,ZW,Kenilworth,Kenilworth-1-1,28.724613,-19.425122,10,5.72,0.24,0.023,8767,524,3.2,93.5,7.8,451,177,548,0.001,1.37,115,96.7,1.19,57.1
icr073650,ZW-wWHbdh,ZW,Kenilworth,Kenilworth-1-1,28.724613,-19.425122,35,5.67,0.33,0.023,5865,481,1.7,89.7,10.9,986,325,769,0.077,2.33,131,161,1.27,108
icr073670,ZW-hpgsQ4,ZW,Kenilworth,Kenilworth-2-2,28.733862,-19.41344,10,6.79,0.24,0.041,12822,954,2.9,118,10.3,2190,653,677,0.25,2.16,120,440,2.22,65.2
icr073671,ZW-hpgsQ4,ZW,Kenilworth,Kenilworth-2-2,28.733862,-19.41344,35,6.67,0.14,0.05,10210,666,1.4,85.7,12.4,2180,660,737,0.25,2.46,122,500,1.23,67.9
icr073686,ZW-sLWGwx,ZW,Kenilworth,Kenilworth-3-1,28.725383,-19.385353,10,6.45,0.14,0.039,18166,1168,2.1,193,9.1,2380,934,922,0.52,5.73,127,177,1.86,46.8
icr073687,ZW-sLWGwx,ZW,Kenilworth,Kenilworth-3-1,28.725383,-19.385353,35,6.3,0.14,0.029,12112,832,1,115,8.7,2340,915,1070,0.61,5,91.9,139,1.07,83.9
icr073703,ZW-06cxLi,ZW,Kenilworth,Kenilworth-4-1,28.721183,-19.372857,10,6.39,0.14,0.039,13342,970,2.5,105,9.4,1810,849,887,0.28,3.08,87.5,125,2.64,52.3
icr073704,ZW-06cxLi,ZW,Kenilworth,Kenilworth-4-1,28.721183,-19.372857,35,6.13,0.14,0.028,9881,683,1.6,57.7,9.7,1730,859,1030,0.12,3.5,83.2,119,0.73,54
icr073723,ZW-bLdrKp,ZW,Kenilworth,Kenilworth-5-1,28.754072,-19.43525,10,6.18,0.24,0.033,14474,1103,1.8,87.9,10.3,1720,646,964,0.37,6.46,112,309,3.77,38
icr073724,ZW-bLdrKp,ZW,Kenilworth,Kenilworth-5-1,28.754072,-19.43525,35,6.21,0.14,0.034,9911,793,0.7,51.7,10,1740,675,1070,0.31,6.03,93.5,290,1.4,55.6
icr073743,ZW-Ny4hzD,ZW,Kenilworth,Kenilworth-6-1,28.745458,-19.4141,10,6.42,0.14,0.171,30308,2499,9.3,129,17,2640,685,767,0.59,5.07,108,475,5.67,47.8
icr073744,ZW-Ny4hzD,ZW,Kenilworth,Kenilworth-6-1,28.745458,-19.4141,35,7.24,0.24,0.052,12924,1030,1.9,50.5,8.3,3150,628,852,0.56,6.8,83.2,586,5.25,41.6
icr073762,ZW-nrLfwf,ZW,Kenilworth,Kenilworth-7-1,28.749533,-19.388597,10,6.08,0.14,0.032,13157,900,2.5,77.2,6.9,1630,645,856,0.28,2.99,99.7,102,0.89,38.7
icr073763,ZW-nrLfwf,ZW,Kenilworth,Kenilworth-7-1,28.749533,-19.388597,35,6.22,0.24,0.027,10718,763,1.7,56.3,6.6,1810,660,937,0.23,3.7,89,117,1.14,47.2
icr073799,ZW-aNlVKE,ZW,Kenilworth,Kenilworth-9-1,28.767247,-19.427562,10,6.42,0.14,0.045,22195,1260,1.4,135,6.6,3080,1180,724,0.46,6.32,137,106,1.08,43.7
icr073800,ZW-aNlVKE,ZW,Kenilworth,Kenilworth-9-1,28.767247,-19.427562,35,6.73,0.24,0.033,15305,816,0.7,107,6,3000,1130,814,0.63,5.5,112,118,1.31,64.2
icr073819,ZW-izdCEV,ZW,Kenilworth,Kenilworth-10-1,28.762927,-19.41003,10,6,0.14,0.034,16448,974,2.4,102,8.5,1820,695,825,0.18,4.62,128,153,1.01,45.2
icr073839,ZW-lpw4OC,ZW,Kenilworth,Kenilworth-11-1,28.765008,-19.395832,10,6.54,0.14,0.035,14874,884,1.1,85,6.8,2000,979,891,0.34,3.64,91.7,83,0.72,47.5
icr073840,ZW-lpw4OC,ZW,Kenilworth,Kenilworth-11-1,28.765008,-19.395832,35,6.58,0.14,0.041,12568,791,1.2,82.7,8.4,2350,1050,1000,0.5,3.79,79,92.4,1.33,71.5
icr073857,ZW-fcQ0h0,ZW,Kenilworth,Kenilworth-12-1,28.771602,-19.364412,10,6.96,0.14,0.109,12295,860,1.6,100,10.3,2520,496,775,0.56,7.08,110,290,1.54,62
icr073858,ZW-fcQ0h0,ZW,Kenilworth,Kenilworth-12-1,28.771602,-19.364412,35,7.41,0.33,0.107,11028,729,1.2,59.8,8.3,2170,410,697,0.44,6,102,252,0.79,48.2
icr073877,ZW-IaHQfJ,ZW,Kenilworth,Kenilworth-13-1,28.792972,-19.437477,10,5.86,0.24,0.04,21576,1311,2.2,97,12.3,2290,1060,917,0.27,4.11,125,128,2.29,43.6
icr073878,ZW-IaHQfJ,ZW,Kenilworth,Kenilworth-13-1,28.792972,-19.437477,35,5.79,0.24,0.039,17941,951,1.7,78,8.8,2100,1040,1060,0.18,4.33,119,93.2,1.14,86.7
icr073897,ZW-6u0RsH,ZW,Kenilworth,Kenilworth-14-1,28.794548,-19.410165,10,5.89,0.14,0.045,13575,804,2.9,88.4,8.1,1450,641,877,0.19,3.02,100,120,2.22,41.7
icr073898,ZW-6u0RsH,ZW,Kenilworth,Kenilworth-14-1,28.794548,-19.410165,35,5.93,0.14,0.025,9214,544,1.1,57.7,7.1,1430,659,949,0.15,2.64,71.4,94,2.39,53.2
icr073917,ZW-Z6fpgO,ZW,Kenilworth,Kenilworth-15-1,28.802128,-19.392763,10,6.09,0.14,0.034,14860,948,2,74.2,7.4,1420,643,843,0.22,4.01,106,103,1.56,49.8
icr073918,ZW-Z6fpgO,ZW,Kenilworth,Kenilworth-15-1,28.802128,-19.392763,35,5.99,0.14,0.026,12617,645,1.3,63.7,7.8,1500,626,970,0.21,3.97,85.7,103,0.83,38.6
icr073937,ZW-PP7xMj,ZW,Kenilworth,Kenilworth-16-1,28.786663,-19.373928,10,6.03,0.24,0.018,14942,807,1.7,62.6,7.7,1300,622,925,0.23,4.78,108,132,0.75,43
icr073938,ZW-PP7xMj,ZW,Kenilworth,Kenilworth-16-1,28.786663,-19.373928,35,6.16,0.14,0.018,16219,981,2.2,79.5,6.9,1330,620,832,0.25,4.92,106,126,0.91,8.14
icr073988,ZW-gBQBJ6,ZW,Gambisa,Gambisa-1-2,29.4097,-18.142,10,7.25,0.097,0.046,7506,697,47.1,214,5.7,845,134,526,0.26,2.79,121,262,2.52,13.6
icr073989,ZW-gBQBJ6,ZW,Gambisa,Gambisa-1-2,29.4097,-18.142,35,7.09,0.19,0.037,6071,573,28.1,235,5.2,658,154,552,0.16,2.98,149,250,1.84,20
icr074002,ZW-Gbumrr,ZW,Gambisa,Gambisa-2-1,29.4157,-18.1109,10,5.9,0.19,0.047,12817,914,9.3,262,8.7,323,213,615,0.13,3.92,112,232,4.19,39.2
icr074003,ZW-Gbumrr,ZW,Gambisa,Gambisa-2-1,29.4157,-18.1109,35,5.83,0.19,0.034,8828,793,4.7,319,8.3,253,278,597,0.071,4.87,126,251,5.03,40.7
icr074018,ZW-3kEIeR,ZW,Gambisa,Gambisa-3-1,29.4155,-18.0948,10,5.59,0.29,0.021,6256,519,5.3,80.9,8.7,235,105,492,0.1,0.94,98.7,136,1.46,104
icr074019,ZW-3kEIeR,ZW,Gambisa,Gambisa-3-1,29.4155,-18.0948,35,5.51,0.19,0.026,4903,517,3.1,99.2,8.3,126,115,414,0.051,1.19,79.5,130,2.22,41
